col_id;age;mom_id;dad_id;gender;is_pregnant;current_mate;territory;position;has_moved;nb_weeks_being_pregnant;week_next_potential_mating
4241379;106;4218875;4196754;1;False;-1;1647;1647;False;0;5
4204784;203;4170231;4145775;0;False;-1;4952;4952;False;0;0
4258938;60;4217001;4188497;0;False;-1;5267;5267;False;0;4
4238265;115;4215168;4144267;1;False;4217798;2501;2501;False;0;0
4241603;106;4222252;4197456;1;False;4210354;6858;6858;False;0;10
4245849;97;4202714;4219400;0;False;-1;7217;7217;False;0;3
4280218;4;4250511;4250567;1;False;-1;1037;1037;False;0;-1
4282441;1;4264685;4264683;0;False;-1;4343;4343;False;0;-1
4280403;4;4250986;4228773;0;False;-1;487;487;False;0;-1
4252011;79;4232178;4165734;1;True;4262311;7767;7767;False;4;0
4212057;180;4133179;4133042;1;True;4229515;5508;5508;False;5;4
4223308;154;4190084;4159621;1;False;4254723;676;676;False;0;0
4263865;51;4241659;4207942;0;False;-1;4721;4721;False;0;10
4265032;48;4231149;4195964;1;False;4202866;5157;5157;False;0;3
4254456;71;4209212;4182139;0;False;-1;7470;7470;False;0;0
4203511;206;4179611;4184096;0;False;-1;1770;1770;False;0;0
4275270;17;4245897;4249234;0;False;-1;6091;6091;False;0;-1
4248029;88;4205246;4218821;0;False;-1;4215;4215;False;0;2
4246538;95;4225592;4212047;0;False;-1;3972;3972;False;0;5
4259823;57;4239355;4203660;0;False;-1;3801;3801;False;0;12
4223927;153;4188676;4169491;1;False;4183818;5549;5549;False;0;0
4274293;19;4257680;4230828;0;False;-1;9707;9707;False;0;-1
4248321;87;4188524;4222677;0;False;-1;7687;7687;False;0;0
4280854;3;4249409;4240418;1;False;-1;3975;3975;False;0;-1
4275956;16;4238479;4256198;1;False;-1;4105;4105;False;0;-1
4272169;26;4243768;4235700;0;False;-1;3148;3148;False;0;-1
4274064;19;4244037;4232127;1;False;-1;1100;1100;False;0;-1
4256558;68;4238164;4226280;0;False;-1;5283;5283;False;0;13
4278075;12;4216107;4243029;0;False;-1;4940;4940;False;0;-1
4267636;38;4247724;4193342;1;False;-1;2788;2788;False;0;-1
4271877;27;4228202;4226123;1;False;-1;3096;3096;False;0;-1
4224201;153;4144102;4187034;1;True;4191245;7029;7029;False;6;0
4264113;50;4231071;4240601;0;False;-1;975;975;False;0;0
4281961;2;4262271;4212125;1;False;-1;9882;9882;False;0;-1
4282274;1;4252063;4264648;1;False;-1;5003;5003;False;0;-1
4274528;18;4244236;4219598;0;False;-1;6324;6324;False;0;-1
4279406;6;4219356;4196621;1;False;-1;3535;3535;False;0;-1
4214482;174;4193652;4136023;0;False;-1;3639;3639;False;0;0
4225011;152;4204509;4178826;1;False;4214370;2323;2323;False;0;8
4267219;40;4247935;4245374;1;False;-1;5680;5680;False;0;4
4250128;84;4226417;4203892;0;False;-1;2958;2958;False;0;0
4281561;2;4249066;4217344;1;False;-1;2855;2855;False;0;-1
4258587;62;4204118;4169026;0;False;-1;5561;5561;False;0;3
4271475;29;4248336;4243575;0;False;-1;1037;1037;False;0;-1
4248020;88;4191483;4160039;0;False;-1;2152;2152;False;0;3
4235755;120;4201013;4206239;1;False;4256114;2843;2843;False;0;2
4280038;5;4261908;4249511;0;False;-1;3514;3514;False;0;-1
4259476;58;4213801;4183457;1;False;4207805;6925;6925;False;0;2
4261735;54;4244796;4183295;1;False;4211909;3929;3929;False;0;13
4261555;54;4228669;4184820;1;False;4218176;2749;2749;False;0;0
4241562;106;4221716;4188622;0;False;-1;5068;5068;False;0;5
4257043;67;4235743;4234762;0;False;-1;1408;1408;False;0;13
4227566;140;4182388;4192495;1;False;4204479;5206;5206;False;0;4
4270403;31;4211264;4231253;1;False;-1;6143;6143;False;0;-1
4229148;137;4206890;4205963;0;False;-1;2723;2723;False;0;5
4268997;34;4234095;4203475;1;False;-1;3374;3374;False;0;-1
4206467;195;4154952;4185663;1;False;4262669;1576;1576;False;0;11
4268321;35;4226484;4227344;0;False;-1;9907;9907;False;0;-1
4234081;123;4174152;4190872;1;False;4234171;7407;7407;False;0;6
4237235;118;4214020;4170164;0;False;-1;2076;2076;False;0;2
4253750;72;4220834;4217623;1;False;4250266;8075;8075;False;0;4
4281645;2;4249205;4255541;1;False;-1;6789;6789;False;0;-1
4207300;192;4176793;4158362;1;False;4243902;2966;2966;False;0;11
4265914;45;4220281;4216403;1;False;-1;5497;5497;False;0;0
4269447;33;4239289;4250844;0;False;-1;1475;1475;False;0;-1
4268699;35;4247953;4250351;1;False;-1;9894;9894;False;0;-1
4246632;94;4210614;4151967;0;False;-1;6795;6795;False;0;0
4271446;29;4247797;4185617;0;False;-1;3571;3571;False;0;-1
4273460;21;4251614;4226089;0;False;-1;3135;3135;False;0;-1
4275253;17;4230381;4244337;1;False;-1;4882;4882;False;0;-1
4267508;38;4225731;4249243;0;False;-1;9732;9732;False;0;-1
4270571;31;4246617;4198325;0;False;-1;5801;5801;False;0;-1
4242523;104;4198327;4221229;1;False;4228631;5043;5043;False;0;0
4257192;67;4234365;4226574;0;False;-1;8265;8265;False;0;4
4256634;67;4219641;4209194;0;False;-1;9860;9860;False;0;2
4228073;139;4195005;4130017;1;False;4247339;9730;9730;False;0;0
4271843;27;4220408;4244685;0;False;-1;3420;3420;False;0;-1
4262159;53;4229524;4244209;1;True;4225095;2980;2980;False;3;4
4279412;6;4222446;4252344;0;False;-1;6746;6746;False;0;-1
4263091;52;4242076;4229450;1;True;4253236;1110;1110;False;6;2
4272939;22;4205435;4253665;1;False;-1;5674;5674;False;0;-1
4276669;15;4212397;4247293;1;False;-1;5120;5120;False;0;-1
4201606;208;4154954;4168676;0;False;-1;8036;8036;False;0;0
4270159;31;4234802;4217585;1;False;-1;7351;7351;False;0;-1
4269000;34;4209178;4205838;1;False;-1;3849;3849;False;0;-1
4276429;16;4253956;4246989;1;False;-1;4837;4837;False;0;-1
4225308;151;4205079;4188241;0;False;-1;9697;9697;False;0;0
4224502;153;4205125;4190317;1;False;4263997;4397;4397;False;0;0
4277960;13;4255244;4209981;1;False;-1;7706;7706;False;0;-1
4248875;86;4158361;4156939;1;False;4260646;3081;3081;False;0;5
4279244;7;4217686;4212426;1;False;-1;5679;5679;False;0;-1
4199315;212;4181663;4123959;0;False;-1;976;976;False;0;0
4278459;11;4198689;4254037;1;False;-1;7105;7105;False;0;-1
4256454;68;4236961;4182937;0;False;-1;930;930;False;0;3
4271510;29;4248005;4226969;1;False;-1;4213;4213;False;0;-1
4253269;73;4207877;4167416;1;False;4257564;6859;6859;False;0;0
4271432;29;4252224;4193586;1;False;-1;5629;5629;False;0;-1
4279544;6;4256816;4214487;1;False;-1;5260;5260;False;0;-1
4191985;229;4134686;4156995;1;True;4254515;3315;3315;False;5;2
4223217;155;4204286;4142671;0;False;-1;1700;1700;False;0;0
4281854;2;4260655;4255204;0;False;-1;6854;6854;False;0;-1
4267370;39;4220842;4243190;1;False;-1;1652;1652;False;0;14
4206555;195;4170385;4187192;1;False;4203467;4991;4991;False;0;0
4245398;100;4223928;4221141;1;False;4247290;4340;4340;False;0;11
4214099;174;4183698;4190002;0;False;-1;3138;3138;False;0;0
4281252;3;4259255;4262707;1;False;-1;3970;3970;False;0;-1
4281791;2;4264947;4208995;0;False;-1;7759;7759;False;0;-1
4242533;104;4204403;4167349;1;False;4256672;4442;4442;False;0;0
4233320;124;4177781;4215617;0;False;-1;7813;7813;False;0;0
4271456;29;4247758;4242132;0;False;-1;3106;3106;False;0;-1
4270170;31;4239129;4220058;0;False;-1;3291;3291;False;0;-1
4246520;95;4227107;4192700;1;False;4229152;2383;2383;False;0;0
4280263;4;4232161;4195951;0;False;-1;2738;2738;False;0;-1
4270222;31;4219909;4227895;0;False;-1;3915;3915;False;0;-1
4244175;102;4221007;4185622;0;False;-1;2429;2429;False;0;0
4265986;45;4224862;4227777;0;False;-1;2019;2019;False;0;12
4280322;4;4236048;4246465;0;False;-1;3209;3209;False;0;-1
4252416;77;4218826;4209163;0;False;-1;5101;5101;False;0;2
4276250;16;4255784;4230839;0;False;-1;3643;3643;False;0;-1
4271844;27;4220408;4244685;1;False;-1;3313;3313;False;0;-1
4275162;18;4250140;4211657;0;False;-1;8093;8093;False;0;-1
4213589;175;4183800;4196604;1;False;4259071;4909;4909;False;0;9
4277588;14;4257607;4206715;1;False;-1;5393;5393;False;0;-1
4235250;121;4192859;4211315;1;False;-1;1029;1029;False;0;12
4259809;57;4226825;4235995;1;False;4257481;7166;7166;False;0;7
4231594;131;4174664;4180796;1;False;4258368;6491;6491;False;0;4
4277554;14;4256984;4208191;0;False;-1;1221;1221;False;0;-1
4263928;50;4231937;4226853;1;True;4231950;3700;3700;False;6;7
4188056;241;4153527;4163447;0;False;-1;6031;6031;False;0;10
4243622;103;4224930;4183128;1;False;4229431;3310;3310;False;0;4
4181882;259;4146560;4149758;0;False;-1;5284;5284;False;0;0
4263729;51;4238738;4201970;1;False;4221101;6611;6611;False;0;11
4231639;131;4211471;4170701;0;False;-1;4945;4945;False;0;0
4242235;105;4222934;4215361;1;False;4178576;1112;1112;False;0;8
4240168;108;4214539;4219574;0;False;-1;725;725;False;0;0
4273425;21;4254325;4206658;0;False;-1;4225;4225;False;0;-1
4231117;133;4208682;4209308;1;True;4263735;478;478;False;6;3
4275140;18;4257155;4247432;0;False;-1;5607;5607;False;0;-1
4201122;209;4150120;4183124;0;False;-1;6100;6100;False;0;0
4222016;156;4177754;4170829;0;False;-1;7648;7648;False;0;2
4270004;32;4248552;4199505;0;False;-1;7992;7992;False;0;-1
4262813;52;4204130;4240107;0;False;-1;5747;5747;False;0;11
4250701;82;4205371;4209878;1;False;4240935;9666;9666;False;0;4
4281529;2;4233609;4230940;0;False;-1;4270;4270;False;0;-1
4278935;9;4257598;4260144;1;False;-1;6680;6680;False;0;-1
4267818;37;4238806;4200459;1;False;-1;3206;3206;False;0;-1
4268057;36;4236124;4241323;0;False;-1;9760;9760;False;0;-1
4252769;75;4219388;4205094;0;False;-1;9377;9377;False;0;0
